GLON,GLAT,z,Mbh
0.1595,72.67817,0.02242,375.408
0.20005,49.00894,0.00409,40.683
0.20472,14.44408,0.01895,145.146
0.22821,-33.39667,0.018,225.543
0.32884,-30.81834,0.02015,448.961
0.33882,48.90437,0.00484,50.26
0.42592,48.79664,0.00572,537.252
0.44519,-23.40119,0.01858,116.45
0.51605,48.63597,0.00853,268.459
0.72873,49.31939,0.00453,122.845
0.83486,-24.79918,0.0201,142.021
0.84209,66.54573,0.01423,64.212
0.90731,49.04132,0.00415,6.859
0.93302,-32.50044,0.02189,173.7
1.05564,-47.55953,0.01697,250.639
1.12441,-45.94209,0.00745,29.668
1.14068,-45.21409,0.01756,94.653
1.32686,41.30719,0.00936,136.213
1.55985,-45.63809,0.01804,871.903
1.66304,-28.66525,0.01808,231.066
1.66358,-46.78074,0.01628,97.766
1.69565,-24.61715,0.01991,410.829
1.70989,-26.79279,0.01931,217.915
1.71023,-12.10782,0.02041,222.888
1.78523,-29.50332,0.021,182.975
1.80112,82.35623,0.02321,368.384
1.86194,49.17868,0.00579,64.349
1.9172,-29.45996,0.02004,887.121
1.95091,-29.31908,0.01758,208.772
1.98567,26.76048,0.00325,7.367
2.22942,-28.53779,0.01892,177.929
2.46685,-28.70096,0.0192,241.429
2.48522,-46.02645,0.01933,144.17
2.50555,-24.79091,0.02127,186.864
2.54294,-30.02259,0.01826,182.529
2.65612,-44.83065,0.01253,81.29
2.67827,-35.09027,0.02172,161.729
2.86212,49.15126,0.00629,83.409
3.01338,-31.94943,0.01967,242.585
3.09446,-28.39763,0.01208,111.759
3.25009,-66.55,0.00548,21.482
3.34804,66.60703,0.0166,88.688
3.36054,47.47927,0.00617,12.036
3.44528,72.26776,0.0216,147.033
3.71815,-22.1565,0.01838,161.352
3.72215,-37.85716,0.02313,188.968
3.72512,-49.3009,0.01576,131.961
3.82803,-25.24639,0.01905,166.734
3.94368,-66.0894,0.0091,152.711
3.94581,40.64012,0.01137,54.987
3.95104,66.54829,0.01852,370.178
4.02194,-11.28937,0.01983,242.47
4.02616,-37.18277,0.02032,262.59
